abstract_id,title,authors,journal,year,doi,license,url
ABS-001,Associations of Physical Activity and Dietary Habits with Migraine Frequency and Intensity in Adults: A Cross-Sectional Study.,"Murtezani A, Jakupi D, Malaj SR, Qeriqi V, Ibraimi Z.",,2026,10.3390/medicina62050837,cc by,https://doi.org/10.3390/medicina62050837
ABS-002,Nature-Based Therapy: Exploring the Processes That Foster Change.,"Rhodes JD, Boylan HM.",,2026,10.3390/bs16040574,cc by,https://doi.org/10.3390/bs16040574
ABS-003,When poor sleep hurts most: procrastination as a moderator of the association between sleep quality and academic performance in medical students.,"Nazmifar M, Lloyd R, Walkon L, Izad T, Mohiyeddini C.",,2026,10.3389/fpsyg.2026.1807387,cc by,https://doi.org/10.3389/fpsyg.2026.1807387
ABS-004,"Sleep Habits, Physical Exercise, and Social Media Use and Their Influence on Perceptions of Physical and Mental Health-Case Study at a Higher Education Institution in Portugal.","Oliveira AP, Nobre J, Monteiro F, Rodrigues C, Louro O, Valente N, Branquinho L, Carrajola N, Morgado B.",,2026,10.3390/healthcare14030343,cc by,https://doi.org/10.3390/healthcare14030343
ABS-005,Targeted mindfulness and self-compassion improve long-term stress reduction in distance learning students: a randomized trial.,"Bock L, Hägerbäumer M, Riedel E, Rana M.",,2025,10.3389/fpsyg.2025.1678094,cc by,https://doi.org/10.3389/fpsyg.2025.1678094
ABS-006,Perceived physical activity barriers as predictors of nomophobia levels in sports science students.,"Akpınar Ö, Kurşunel M, Baba Kaya H, Yanar Tunçel N, Akpınar S.",,2026,10.3389/fpubh.2026.1726076,cc by,https://doi.org/10.3389/fpubh.2026.1726076
ABS-007,Does focused attention meditation improve probability weighting bias? The role of emotional trade-off difficulty and compensatory decision making.,"Zhi C, Li B.",,2026,10.1186/s40359-026-04053-z,cc by,https://doi.org/10.1186/s40359-026-04053-z
ABS-008,Effects on secondary outcomes following a three-month personalized app-based lifestyle intervention among working adults: a three-armed randomized controlled trial.,"Eke H, Söderberg D, Sjöblom L, Bonn SE, Trolle Lagerros Y.",,2026,10.1038/s41598-026-54919-w,cc by,https://doi.org/10.1038/s41598-026-54919-w
ABS-009,Wakeful rest and memory consolidation in an ecologically valid educational setting: no benefit over distractor tasks.,"Seban P, Šikl R, Prošek T, Urban K.",,2026,10.1007/s00426-026-02265-x,cc by,https://doi.org/10.1007/s00426-026-02265-x
ABS-010,Self-Selected Leisure Promotes Ambulatory Blood Pressure Dipping: A Within-Person Randomized Field Experiment.,"Merritt MM, Zawadzki MJ, Cowger JM.",,2026,10.3390/bs16010148,cc by,https://doi.org/10.3390/bs16010148
ABS-011,Brief Mindfulness Meditation Protects Chinese Young Women's Body Image from Appearance-Focused Social Media Exposure: An Online Randomized Controlled Trial.,"Zhang X, Zhang Z.",,2026,10.3390/healthcare14010120,cc by,https://doi.org/10.3390/healthcare14010120
ABS-012,Sleep Deprivation and Its Impact on Cognitive Function and Academic Success in Health Sciences Students at Umm Al-Qura University.,"Makkawi RM, Alnefaie SN, Aljuhani A, Alshehri JM, Alzahrani HK, Alsharif J, Shaker A.",,2026,10.7759/cureus.106708,cc by,https://doi.org/10.7759/cureus.106708
ABS-013,Social Media Use and Psychological and Nutritional Well-Being in Adults Aged 50 Years and Older: A Cross-Sectional Study.,"Polatoz K, Soysal P, Besik R, Tanriverdi I, Celebi S, Pasin O, Smith L.",,2026,10.1002/hsr2.72352,cc by,https://doi.org/10.1002/hsr2.72352
ABS-014,Early Montessori education shows delayed benefits for mathematical problem-solving in a 5-year longitudinal randomized controlled trial.,"Le Diagon S, Van der Henst JB, Prado J.",,2025,10.1038/s41598-025-27687-2,cc by,https://doi.org/10.1038/s41598-025-27687-2
ABS-015,"Exploring the Role of Sleep and Physical Activity in Academic Stress, Motivation, Self-Efficacy, and Dropout Intention Among Italian University Students.","Dagani J, Buizza C, Ghilardi A.",,2025,10.3390/ejihpe16010003,cc by,https://doi.org/10.3390/ejihpe16010003
ABS-016,Psychosocial and Behavioral Factors Associated with Excessive Smartphone Use Among Korean Adolescents: A National Cross-Sectional Study.,Kang SR.,,2026,10.3390/children13040472,cc by,https://doi.org/10.3390/children13040472
ABS-017,Link Between Diet Quality and Lifestyle Factors Among Young Adults in Saudi Arabia.,"Bawazeer NM, Alzaben AS, Bakry HM, Alrashidi RM, Hussein KS.",,2026,10.3390/healthcare14081010,cc by,https://doi.org/10.3390/healthcare14081010
ABS-018,The Effects of an Online Yoga Nidra Meditation on Subjective Well-Being and Diurnal Salivary Cortisol: A Randomised Controlled Trial.,"Moszeik EN, Rohleder N, Renner KH.",,2025,10.1002/smi.70049,cc by,https://doi.org/10.1002/smi.70049
ABS-019,Using Machine Learning to Analyze the Predictors of Life Satisfaction: Focus on Lifestyle Attitudes and Psychological Factors.,"Alptekin FB, Torlak E, Asik Ö, Karaaslan B, Turgal E, Burhan HS, Aytac HM, Guclu O.",,2026,10.1002/mpr.70051,cc by,https://doi.org/10.1002/mpr.70051
ABS-020,Negative life events and problematic smartphone use among university students: the mediating role of self-efficacy and the moderating role of physical activity.,"Yang C, Huang W, Hu C, Zhang W, Chen B, Zhou C, Zhu D, Xu B.",,2025,10.3389/fpubh.2025.1704120,cc by,https://doi.org/10.3389/fpubh.2025.1704120
ABS-021,"Cross-Sectional Associations of Sport Participation, Academic Performance, and Psychological Well-Being Among Rural Romanian Adolescent Boys in the Context of Family Background.","Dávid F, Rácz K, Salamon P.",,2026,10.3390/children13010135,cc by,https://doi.org/10.3390/children13010135
ABS-022,Distinct psychological profiles and responsiveness to a brief intervention in workers with high versus low intensity emotional labor: an observational study.,"Lee D, Ha N, Oh C, Lee US, Lee YI, Kang DH, Choi SH.",,2026,10.1371/journal.pone.0345553,cc by,https://doi.org/10.1371/journal.pone.0345553
ABS-023,Sleep Quality and Healthy Lifestyle Beliefs in Adolescents: The Mediating Role of Screen Exposure.,"Solmaz T, Acar MD, Demir O.",,2026,10.1002/brb3.71212,cc by,https://doi.org/10.1002/brb3.71212
ABS-024,Multidimensional factors of depressive symptoms among Chinese undergraduate students: a cross-sectional study using binary logistic regression.,"Chen W, Bai J, Niu H, Zhu Q, Zhao X, Dong Y.",,2025,10.3389/fpsyt.2025.1546197,cc by,https://doi.org/10.3389/fpsyt.2025.1546197
ABS-025,Physical Development and Postural Behaviors in Children and Adolescents: A Cross-Sectional Study.,"D'Elia F, Ceruso R, Giardullo G, Picone AD, Simoes V, D'Isanto T, Esposito G.",,2026,10.3390/children13050698,cc by,https://doi.org/10.3390/children13050698
ABS-026,Effects of Green Tea-Intake Timing on Glucose and Lipid Metabolism in Older Adults: An 8-Week Randomized Controlled Trial.,"Fuke S, Fujihira K, Takahashi M.",,2026,10.1155/jnme/2301278,cc by,https://doi.org/10.1155/jnme/2301278
ABS-027,"Emotional intelligence, perceived stress, and life satisfaction among university students: examining direct and moderating relationships.","Gómez-López M, Leale I, Martinez-Nicolas A, Manzano-Sánchez D, Battaglia G.",,2026,10.3389/fpsyg.2026.1739364,cc by,https://doi.org/10.3389/fpsyg.2026.1739364
ABS-028,Prevalence of and Factors Associated With Depression and Anxiety Among Job-Seeking Graduates: A Cross-Sectional Study on Bangladesh.,"Alam A, Marin AA, Zubayer AA, Hasan MS, Arzu MSA, Sharma L, Mim FI, Haque I, Palit S, Rahman FT, Gomes AA, Azad MI, Chowdhury RI, Jamil S, Biswas MS.",,2026,10.1002/puh2.70279,cc by,https://doi.org/10.1002/puh2.70279
ABS-029,From health to harm: Cross-sectional analysis of factors associated with orthorexia nervosa.,"Roth AM, Vollmeyer R, Matura S.",,2026,10.1016/j.nsa.2026.107011,cc by,https://doi.org/10.1016/j.nsa.2026.107011
ABS-030,A digital mindfulness intervention improves sleep efficiency and heart rate variability in healthy adults.,"Kirk U, Hovgaard CN, Persiani MTL, Romagnoli M, Staiano W.",,2026,10.1038/s41598-026-44902-w,cc by,https://doi.org/10.1038/s41598-026-44902-w
